Date,Open,High,Low,Close,Volume
1640368800000,51112.83000000,51638.00000000,51072.16000000,51600.48000000,1861.91217000
1640372400000,51600.47000000,51810.00000000,51083.58000000,51126.40000000,1935.07156000
1640376000000,51126.40000000,51236.15000000,50773.90000000,51109.18000000,1640.57091000
1640379600000,51109.17000000,51135.26000000,50847.84000000,50876.44000000,598.85044000
1640383200000,50876.44000000,50955.53000000,50570.16000000,50760.55000000,1001.76155000
1640386800000,50760.55000000,50890.01000000,50500.00000000,50820.00000000,1032.09337000
1640390400000,50819.99000000,51066.32000000,50600.00000000,51045.25000000,744.53471000
1640394000000,51045.25000000,51090.00000000,50850.00000000,50992.54000000,594.85161000
1640397600000,50992.55000000,51131.25000000,50768.42000000,50768.43000000,663.28411000
1640401200000,50768.42000000,50932.49000000,50700.19000000,50844.14000000,533.43132000
1640404800000,50844.13000000,51054.69000000,50800.79000000,50886.42000000,600.63354000
1640408400000,50886.42000000,51010.42000000,50858.56000000,50886.99000000,484.58350000
1640412000000,50886.99000000,50986.23000000,50656.43000000,50965.88000000,640.70759000
1640415600000,50965.89000000,51084.13000000,50822.17000000,50919.17000000,782.58942000
1640419200000,50919.18000000,50968.57000000,50789.00000000,50886.35000000,643.88073000
1640422800000,50886.35000000,51009.29000000,50802.00000000,50807.40000000,531.81890000
1640426400000,50807.39000000,50841.37000000,50555.00000000,50645.41000000,921.06352000
1640430000000,50645.41000000,50816.32000000,50583.15000000,50682.97000000,537.97712000
1640433600000,50682.97000000,50934.78000000,50682.96000000,50802.76000000,594.23214000
1640437200000,50802.76000000,50900.00000000,50631.55000000,50847.48000000,1030.35323000
1640440800000,50847.48000000,50865.55000000,50650.00000000,50744.90000000,688.75155000
1640444400000,50744.89000000,50815.54000000,50650.00000000,50659.91000000,848.68752000
1640448000000,50659.91000000,50765.32000000,50444.70000000,50600.02000000,1358.02780000
1640451600000,50600.02000000,50849.00000000,50142.32000000,50781.75000000,2036.45313000
1640455200000,50781.74000000,51156.23000000,50705.64000000,50986.34000000,1095.36984000
1640458800000,50986.35000000,51062.10000000,50816.86000000,50889.15000000,477.80948000
1640462400000,50889.15000000,50995.75000000,50732.58000000,50852.83000000,549.51431000
1640466000000,50852.83000000,51080.00000000,50820.93000000,50960.01000000,677.25602000
1640469600000,50960.01000000,50970.48000000,50554.46000000,50609.58000000,797.96415000
1640473200000,50609.59000000,50691.17000000,50335.67000000,50399.66000000,1301.74089000
1640476800000,50399.67000000,50561.34000000,50255.00000000,50378.41000000,1605.46199000
1640480400000,50378.41000000,50672.93000000,50314.66000000,50523.25000000,913.48694000
1640484000000,50523.26000000,50557.87000000,49800.00000000,50028.50000000,1962.59558000
1640487600000,50028.49000000,50028.50000000,49610.00000000,49675.56000000,1885.43297000
1640491200000,49675.56000000,49884.71000000,49600.95000000,49867.65000000,861.16017000
1640494800000,49867.65000000,49977.07000000,49800.00000000,49862.63000000,626.04398000
1640498400000,49862.64000000,49961.51000000,49804.58000000,49904.96000000,475.21303000
1640502000000,49904.96000000,49974.98000000,49716.17000000,49930.39000000,545.66501000
1640505600000,49930.39000000,50089.93000000,49826.01000000,49881.98000000,742.58404000
1640509200000,49881.97000000,50169.17000000,49840.20000000,50012.60000000,772.37161000
1640512800000,50012.61000000,50104.00000000,49924.02000000,50079.99000000,720.51634000
1640516400000,50080.00000000,50125.00000000,49412.00000000,49748.89000000,1463.81011000
1640520000000,49748.89000000,49964.28000000,49642.11000000,49870.53000000,756.26845000
